interpolation,generation,individual,AU,expression,score
0,0,0,"[0.24510131501845067, 0.7539404876178254, 0.041924887059930915, 0.10382976795353016, 0.09464775468028164, 0.14031223886112376, 0.4052166320234485, 0.4997001677346854, 0.6302110346825658, 0.0790871092868175, 0.3225262704681482, 0.16152460716768313, 0.08745656399327117, 0.2906149264429091, 0.8764890258081677, 0.9245845475609443, 0.28120401937893535]","[3.665089752757922e-05, 1.710418837319594e-05, 2.1759860828751698e-05, 0.9993532299995422, 3.09597235172987e-05, 0.0005128397606313229, 2.7450489142211154e-05]",0.9999993148625795
0,0,1,"[0.14456943522496157, 0.568342434800174, 0.07068023986729044, 0.8141941801128808, 0.4883408899185966, 0.5352842378976144, 0.025488929610490985, 0.9160373396610522, 0.05958949357929433, 0.6225406584478304, 0.03556179864576725, 0.06269402140036884, 0.17664191535376317, 0.14938868385821202, 0.5892763973669578, 0.3817793242550864, 0.9747952082793171]","[0.0001243198203155771, 1.5314839401980862e-05, 7.22727709216997e-05, 0.9993143081665039, 0.00011066326987929642, 5.155958206159994e-05, 0.0003114599094260484]",0.9999993970013691
0,0,2,"[0.8845815732080696, 0.8533458004401028, 0.20920641545351637, 0.5671784615765973, 0.9153222472580047, 0.664616395280892, 0.777831141787621, 0.9607894534984572, 0.6800373782571556, 0.33713100620790337, 0.8789523454416855, 0.9197430700876494, 0.7707115369086073, 0.07394493841728123, 0.15608960588281173, 0.8712265927100018, 0.5192693209215686]","[0.0003316376532893628, 0.00012288031575735658, 0.010092775337398052, 0.9632798433303833, 0.0022780736908316612, 0.0006364100845530629, 0.023258356377482414]",0.998003095118124
0,0,3,"[0.2831692334083411, 0.22206466816515624, 0.830219143917846, 0.16059712625419997, 0.7552285972960441, 0.05139784273614434, 0.7938723652226284, 0.3471933720049787, 0.4744685353267101, 0.7636610802863769, 0.10242214015574258, 0.2703693401601738, 0.18443904603232109, 0.544373403432887, 0.320903766665782, 0.03169919473619576, 0.8681160492896153]","[8.082890417426825e-05, 2.407940883131232e-05, 0.00010136011405847967, 0.9984561204910278, 0.0008188579813577235, 3.780030965572223e-05, 0.00048082362627610564]",0.9999966959004427
0,0,4,"[0.0013899367643638305, 0.627561184583118, 0.12172359972672642, 0.36937793379494577, 0.10519499537254251, 0.8326404624300625, 0.23736633121091555, 0.7038154925477125, 0.18875378706532686, 0.4893429415306374, 0.8733925495033152, 0.5477107288887125, 0.7083379273429772, 0.3724696472730685, 0.31583478013723265, 0.10006624632345851, 0.38313506480837956]","[0.01578986458480358, 0.006644759327173233, 0.03438543900847435, 0.7616605162620544, 0.1797173023223877, 0.0005060832481831312, 0.0012960376916453242]",0.9094182148376129
0,0,5,"[0.7620244103608135, 0.28018883960681285, 0.965791484804476, 0.9710220871481122, 0.7796129068194186, 0.2685339812562131, 0.16051213737265357, 0.707610333617208, 0.34112591604748665, 0.13802297927191387, 0.3660584356607486, 0.30312309751775635, 0.5193799092088465, 0.6368694449561174, 0.9359265850927596, 0.9426494352111753, 0.12455027857542444]","[5.654786218656227e-05, 1.582626464369241e-05, 1.1550695489859208e-05, 0.9995290040969849, 3.543693310348317e-05, 0.00029821929638274014, 5.353062806534581e-05]",0.9999996815252563
0,0,6,"[0.7619180938885474, 0.6241575637696927, 0.6229060601761737, 0.36765902149591956, 0.43853598701812546, 0.9473827146659672, 0.17924739132121037, 0.9639279625911937, 0.45942053603874866, 0.17974044290104063, 0.565937068937368, 0.03923868501969874, 0.28673831179235487, 0.1153589841872753, 0.9706175670008258, 0.3235852826139186, 0.03480686484104667]","[5.947706085862592e-05, 1.7236447092727758e-05, 0.00013739205314777792, 0.9992474317550659, 5.154315658728592e-05, 0.0003626342804636806, 0.00012434042582754046]",0.9999992613089848
0,0,7,"[0.8763996522377476, 0.9316109979945171, 0.8393329214626705, 0.45319925355974955, 0.42926709381768924, 0.3582632215568974, 0.9193442655280238, 0.6017546406829614, 0.15485677706574086, 0.08201118524869722, 0.026064335232674596, 0.31709973703952665, 0.7366548353419132, 0.2327897872453445, 0.429449564305429, 0.13349487913970226, 0.8773628655255215]","[0.016578134149312973, 0.000570080999750644, 0.001376293832436204, 0.00031200138619169593, 0.9804218411445618, 9.528344526188448e-05, 0.0006464868201874197]",-0.9608805618988496
0,0,8,"[0.2861824370637357, 0.3417124067971823, 0.7378635127254844, 0.20599394574690777, 0.13459835837355594, 0.6642088624357654, 0.9144676303001683, 0.1840660440953562, 0.5014820551624443, 0.35440436620647964, 0.26074858849730675, 0.38976777923430583, 0.8505179836142351, 0.2948164284078838, 0.578146468950101, 0.7575850356416551, 0.38867375323829356]","[0.015148314647376537, 0.0025759288109838963, 0.002013592282310128, 0.4217628240585327, 0.550385594367981, 0.0006516823195852339, 0.007462032604962587]",0.3624211978512232
0,0,9,"[0.4111580795700397, 0.06438862376502275, 0.6744858099574563, 0.17973534468084884, 0.8769089072535308, 0.8444304040501156, 0.7650073390702756, 0.8314886482007142, 0.4691445820332796, 0.7868224382452023, 0.5486872720854067, 0.6489760063707997, 0.2894525129193819, 0.2988938448193347, 0.09062009640023028, 0.5727467780288006, 0.7214559170556261]","[3.6606805224437267e-05, 1.9803734176093712e-05, 8.517459355061874e-05, 0.9994091987609863, 0.00010431431292090565, 0.00010758753342088312, 0.00023735364084132016]",0.9999995631736345
0,0,10,"[0.783642396915988, 0.19238433788143516, 0.9166190670389006, 0.580503492068178, 0.05163059556564664, 0.6536831255840816, 0.8047670646027015, 0.9563981084103661, 0.6047766697419328, 0.2586834646386089, 0.9318161428404761, 0.8119575351455568, 0.5577610902480591, 0.8141206539905979, 0.01814930117341451, 0.9490362074643408, 0.07891868955131831]","[0.0007948698475956917, 0.0010428497334942222, 0.005590813234448433, 0.6583826541900635, 0.3178401589393616, 0.0005095931119285524, 0.01583903282880783]",0.7819911112148201
