interpolation,generation,individual,AU,expression,score
0,0,0,"[0.35526573436657993, 0.9289201883570305, 0.63918846323811, 0.6842686220209324, 0.34502939967473556, 0.8879533979853904, 0.6635114839918718, 0.4975731241145851, 0.6440458124832953, 0.5698194394577434, 0.7914257330820683, 0.894017366529217, 0.5219332199276043, 0.4480331073702859, 0.17694065526905445, 0.5037658753993334, 0.10571103088707512]","[0.017331469804048538, 0.004919963888823986, 0.039475325495004654, 0.45938318967819214, 0.47185149788856506, 0.0006653968594036996, 0.006373175885528326]",0.9102331318817753
0,0,1,"[0.5647119413115459, 0.5841905708482834, 0.9920845000666687, 0.7733562817437623, 0.2703593136637319, 0.305959452941705, 0.7781240846125326, 0.2534282810450508, 0.11080423953258667, 0.4009077302005887, 0.1157789382461425, 0.803137556290423, 0.9002461978130138, 0.244534798045142, 0.60632412228966, 0.12367215086479699, 0.8715908499692614]","[0.23570014536380768, 0.003631554078310728, 0.011114177294075489, 0.06514352560043335, 0.6492918729782104, 0.0014963606372475624, 0.03362240269780159]",0.844597750857977
0,0,2,"[0.3117609350410322, 0.37326350677495246, 0.059561114863556086, 0.7716281008512506, 0.503911736005237, 0.4137695745853537, 0.9399523758819935, 0.9916897641828769, 0.26805221428947834, 0.9504692567003831, 0.962846422975761, 0.30247377530906905, 0.1356382756969563, 0.5543038532936823, 0.37213624821371316, 0.15226671543128711, 0.1619615305811417]","[0.0059612952172756195, 0.0008742386708036065, 0.0003119315661024302, 0.9919468760490417, 0.0004748264327645302, 0.0002288783434778452, 0.000201929738977924]",0.28406195532925516
0,0,3,"[0.06794489863184316, 0.0449035148476582, 0.6037373541571736, 0.10739940516108604, 0.7944533023935086, 0.9750948827165422, 0.5823646617875305, 0.8981879516751251, 0.7885209069323366, 0.5377822570509752, 0.5765495327932882, 0.5216147055660214, 0.08902291199120882, 0.1556360086405354, 0.16202590012553608, 0.5485180063197861, 0.5126429059155471]","[4.2791638406924903e-05, 1.780409729690291e-05, 0.00011870151502080262, 0.9995623230934143, 8.258244633907452e-05, 9.270280133932829e-05, 8.311029523611069e-05]",0.270743180767437
0,0,4,"[0.7657763989079148, 0.6522127711701415, 0.2991844473941765, 0.5084456187643057, 0.7479498890410214, 0.12960126024363527, 0.25098679347569375, 0.6729392243890274, 0.5544389879485903, 0.8551337603209754, 0.8485463097348697, 0.9157105892461568, 0.9625700878300066, 0.24956354625783195, 0.16340830745385693, 0.9506017663408406, 0.30341362986932074]","[8.24277667561546e-05, 3.718610969372094e-05, 0.00020081084221601486, 0.9970347881317139, 0.0003153529542032629, 0.00017985689919441938, 0.002149632666260004]",0.2745032807224007
0,0,5,"[0.7012342665852981, 0.9838790712699016, 0.9069610534477927, 0.31422751102652735, 0.15594883837165707, 0.7686605013208732, 0.5133424659127562, 0.33652526154326123, 0.795843426206983, 0.22443075747700492, 0.6986827508041521, 0.24580830467294035, 0.6535442291010851, 0.04071839899276419, 0.9032050595557175, 0.33724423975475326, 0.25690973311011145]","[0.0022554921451956034, 0.000487552082631737, 0.014936569146811962, 0.9731802940368652, 0.00495655182749033, 0.0012501179007813334, 0.0029333303682506084]",0.3174071970216734
0,0,6,"[0.39896925877442946, 0.3034922969145105, 0.07680397357077795, 0.9088685756920714, 0.8423933594004177, 0.3692305766696111, 0.6158650687816942, 0.7026387586698911, 0.5163496767218415, 0.3604477082180654, 0.34594733229014607, 0.3757266708561734, 0.7902481243348972, 0.6400582824534701, 0.011809175249594905, 0.43207963590030685, 0.48001661346625324]","[3.623986413003877e-05, 1.571998291183263e-05, 2.8736798412865028e-05, 0.9993589520454407, 4.783658005180769e-05, 9.445033356314525e-05, 0.0004180510004516691]",0.27096112776086967
0,0,7,"[0.6831368825859974, 0.49247980144878933, 0.6577761058085043, 0.8603154909195578, 0.17201000195607608, 0.6954394602279682, 0.7439926647697975, 0.7344330304444573, 0.3763382217101521, 0.13806503818463578, 0.5842899344063831, 0.13238023195582926, 0.2012070691519221, 0.6658024174262073, 0.7851412473114314, 0.23150612092944878, 0.8978281355604493]","[0.1593625545501709, 0.0012644259259104729, 0.0014648712240159512, 0.8333314657211304, 0.0022677185479551554, 0.0009501299355179071, 0.00135883002076298]",0.516294632693076
0,0,8,"[0.3281003783452393, 0.7395898609359608, 0.15184687676320352, 0.9990865972335634, 0.3619751402022926, 0.0787204099306199, 0.39261773765282804, 0.22645974401353375, 0.844097812418153, 0.995523089589062, 0.74034280251339, 0.7350989950411354, 0.3417652754435234, 0.5109703928033088, 0.3138846956934397, 0.8696518619502503, 0.7121024439097356]","[3.389107951079495e-05, 7.942105185065884e-06, 2.2043377612135373e-05, 0.9997288584709167, 3.426736293477006e-05, 3.169065166730434e-05, 0.00014117392129264772]",0.2704292884899663
0,0,9,"[0.6542649477677367, 0.2774124608035977, 0.9735698755376554, 0.21570886917800725, 0.8076675875923766, 0.5354913552537339, 0.13492883007012202, 0.683462820604932, 0.22142956934752467, 0.7271384491315485, 0.9989916633921462, 0.367753994716957, 0.8057740664386224, 0.5472004462138026, 0.6805241450422291, 0.5154620690833138, 0.9499998900756745]","[0.00023309988318942487, 0.000375805189833045, 0.0005612143431790173, 0.938630998134613, 0.055278219282627106, 0.000953961571212858, 0.003966722637414932]",0.39361791235338195
